year,AC_only_GtCO2e_baseline,All_cooling_RAC_GtCO2e_BAU,All_cooling_RAC_GtCO2e_sustainable,Ethanol_LCA_GtCO2e_moderated,Ethanol_LCA_GtCO2e_observed_CAGR
2022,1.75,3.6,3.6,0.116309506797596,0.116309506797596
2023,1.799138824026447,3.6902311630771485,3.558402175040788,0.124387137172528,0.124387137172528
2024,1.8496574332110094,3.78272389915159,3.517285010926392,0.131251030340864,0.131251030340864
2025,1.9015945709937327,3.8775348927683053,3.4766429536441206,0.1339296227968,0.1339296227968
2026,1.954990068704423,3.974722249225725,3.43647051335763,0.135938567138752,0.13988348374206724
2027,2.009884876109862,4.074345530185796,3.3967622636653676,0.13797764564583326,0.1461020244453694
2028,2.0663210928187645,4.176465790176588,3.3575128408675874,0.14004731033052073,0.15259701128401335
2029,2.1243420005685687,4.281145614009797,3.318716943241833,0.14214801998547855,0.1593807337113276
2030,2.183992096418814,4.388449155136113,3.2803693303267925,0.14428024028526068,0.16646602751008358
2031,2.2453171268765715,4.498442174961908,3.2424648222144308,0.14644444388953962,0.17386629907965115
2032,2.308364122980089,4.611192083151383,3.204998298850298,0.14864111054788268,0.18159555080284212
2033,2.3731814363675645,4.726767978938852,3.167964699341924,0.15087072720610095,0.18966840754044179
2034,2.439818776358705,4.845240693476484,3.1313590212752045,0.15313378811419243,0.19810014430355802
2035,2.5083272480775123,4.9666828332434605,3.0951763200386893,0.15543079493590528,0.20690671515614853
2036,2.578759391645525,5.0911688245431455,3.0594117081556704,0.15776225685994386,0.21610478340241526
2037,2.6511692224755925,5.218774959115547,3.0240603546239972,0.160128690712843,0.22571175311618205
2038,2.725612272697055,5.3495794408930175,2.9891174842635135,0.1625306210735356,0.23574580207191717
2039,2.8021456337441326,5.4836624339278455,2.9545783770710377,0.1649685803896386,0.24622591613970812
2040,2.8808280001401494,5.621106111521117,2.9204383675827947,0.1674431090954832,0.2571719252092705
2041,2.9617197145112053,5.761994706582955,2.8866928442442177,0.16995475573191543,0.26860454071096407
2042,3.0448828138637913,5.906414563254997,2.853337248787029,0.17250407706789414,0.28054539480481017
2043,3.130381077161852,6.05445418982675,2.8203670756135173,0.17509163822391255,0.29301708131166443
2044,3.2182800742397806,6.206204312978245,2.787777871187935,0.17771801279727117,0.30604319846398864
2045,3.3086472160888607,6.361757933382257,2.755565233434923,0.18038378298923027,0.3196483935571158
2046,3.401551806555709,6.521210382700134,2.723724811144891,0.1830895397340687,0.3338584095854937
2047,3.4970650954923856,6.684659382006193,2.692252303386261,0.18583588283007968,0.348700133952148
2048,3.595260333398917,6.852205101676468,2.661143458924512,0.18862342107253088,0.36420164934353405
2049,3.6962128276001485,7.023950222778534,2.6303940756479305,0.19145277238861882,0.3803922868660358
2050,3.8,7.200000000000008,2.5999999999999996,0.19432456397444808,0.39730268154465564
